,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,
Player,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA
Kalidou Koulibaly,DF,34,10,900,90,100,10,10,90,10,0,,0,2.4,22,3
Edouard Mendy,GK,33,9,810,90,90,9,9,90,9,0,,0,2.33,18,3
Idrissa Gana Gueye,MF,36,9,757,84,84.1,8.4,9,84,5,0,,1,2.33,19,2
Krépin Diatta,DF,26,8,692,87,76.9,7.7,8,87,7,0,,0,2.5,20,2
Moussa Niakhate,DF,29,8,688,86,76.4,7.6,8,86,7,0,,1,2.25,18,1
Sadio Mané,"FW,MF",33,8,638,80,70.9,7.1,8,80,3,0,,0,2.5,17,2
Iliman Ndiaye,"FW,MF",25,8,606,76,67.3,6.7,8,76,1,0,,0,2.5,18,2
Pape Matar Sarr,MF,23,10,649,65,72.1,7.2,7,81,3,3,27,0,2.4,17,1
Ismaila Sarr,"MF,FW",27,7,517,74,57.4,5.7,6,83,4,1,17,1,2.14,10,1
Lamine Camara,MF,22,8,444,56,49.3,4.9,5,77,1,3,20,0,2.25,9,2
El Hadji Malick Diouf,DF,21,4,360,90,40,4,4,90,4,0,,0,3,14,2
Nicolas Jackson,FW,24,7,347,50,38.6,3.9,4,74,0,3,18,0,2.43,10,3
Habib Diallo,FW,30,5,327,65,36.3,3.6,4,79,1,1,12,3,2.6,9,0
Pape Gueye,MF,27,5,319,64,35.4,3.5,4,73,1,1,29,1,2.2,7,3
Abdoulaye Seck,DF,33,4,302,76,33.6,3.4,3,90,3,1,32,6,2.5,5,3
Habib Diarra,MF,22,4,220,55,24.4,2.4,3,64,1,1,27,0,2.5,5,1
Ismail Jakobs,DF,26,2,180,90,20,2,2,90,2,0,,2,2,4,0
Boulaye Dia,FW,29,3,168,56,18.7,1.9,2,80,0,1,8,2,2.33,2,0
Antoine Mendy,DF,21,2,126,63,14,1.4,1,90,1,1,36,4,2,1,0
Abdou Diallo,DF,29,2,108,54,12,1.2,1,90,1,1,18,4,3,1,0
,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,
Player,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA
Assane Diao,FW,20,2,102,51,11.3,1.1,1,90,1,1,12,0,2,2,0
Mory Diaw,GK,32,1,90,90,10,1,1,90,1,0,,9,3,4,0
Ilay Camara,DF,23,2,74,37,8.2,0.8,1,54,0,1,20,2,3,2,0
Cheikhou Kouyaté,MF,36,1,64,64,7.1,0.7,1,64,0,0,,1,1,0,0
Pathé Ciss,"DF,MF",31,7,113,16,12.6,1.3,0,,0,7,16,3,2.43,1,1
Cherif Ndiaye,"FW,MF",30,5,81,16,9,0.9,0,,0,5,16,3,2.2,2,0
Formose Mendy,DF,25,2,73,37,8.1,0.8,0,,0,2,37,2,3,0,0
Cheikh Tidiane Sabaly,"FW,MF",26,4,54,14,6,0.6,0,,0,4,14,0,3,3,0
Dion Lopy,MF,23,1,27,27,3,0.3,0,,0,1,27,3,3,0,0
Abdallah Sima,"FW,MF",24,3,26,9,2.9,0.3,0,,0,3,9,1,1.67,0,1
Nampalys Mendy,MF,33,2,19,10,2.1,0.2,0,,0,2,10,1,3,1,0
Cheikh Niasse,MF,26,1,19,19,2.1,0.2,0,,0,1,19,1,3,1,0
Fodé Ballo-Touré,"DF,MF",29,0,,,,,0,,0,0,,2,,,
Seny Dieng,GK,31,0,,,,,0,,0,0,,4,,,
Yehvann Diouf,GK,26,0,,,,,0,,0,0,,6,,,
Noah Fadiga,"DF,MF",26,0,,,,,0,,0,0,,1,,,
Mamadou Lamine Camara,MF,23,0,,,,,0,,0,0,,1,,,
Samba Mballo,GK,23,0,,,,,0,,0,0,,1,,,
Moustapha Mbow,DF,25,0,,,,,0,,0,0,,3,,,
Moussa N'Diaye,DF,23,0,,,,,0,,0,0,,2,,,
Abdoulaye Ndiaye,DF,23,0,,,,,0,,0,0,,3,,,
Mikayil Ngor Faye,MF,21,0,,,,,0,,0,0,,2,,,
